	Classifiers_combination	f1_score
0	['DT', 'RF']	0.8113863399842575
1	['DT', 'ETC']	0.8097494553376906
2	['DT', 'KNN']	0.7540859661761176
3	['DT', 'SVC_LIN']	0.8251166829480082
4	['DT', 'SVC_RBF']	0.7896153846153845
5	['DT', 'CAT']	0.8202408757964313
6	['DT', 'LGBM']	0.8172132976349843
7	['DT', 'LGBM_RF']	0.8092298647854202
8	['DT', 'XGB']	0.8106317160534028
9	['DT', 'XGB_RF']	0.8089284784080846
10	['DT', 'LR']	0.8304127936650326
11	['RF', 'ETC']	0.8419134698204466
12	['RF', 'KNN']	0.7798927492384866
13	['RF', 'SVC_LIN']	0.8496310824694125
14	['RF', 'SVC_RBF']	0.8389679040439956
15	['RF', 'CAT']	0.8372489959839357
16	['RF', 'LGBM']	0.8318154631339861
17	['RF', 'LGBM_RF']	0.8457086400404389
18	['RF', 'XGB']	0.8244556808242445
19	['RF', 'XGB_RF']	0.8310122844318449
20	['RF', 'LR']	0.8512585224619408
21	['ETC', 'KNN']	0.7935905785303375
22	['ETC', 'SVC_LIN']	0.8550135797080363
23	['ETC', 'SVC_RBF']	0.7905555555555556
24	['ETC', 'CAT']	0.863476984862527
25	['ETC', 'LGBM']	0.8255472170106316
26	['ETC', 'LGBM_RF']	0.8525154170723791
27	['ETC', 'XGB']	0.8316006064544076
28	['ETC', 'XGB_RF']	0.8532446976891421
29	['ETC', 'LR']	0.8531554362949713
30	['KNN', 'SVC_LIN']	0.7935355630455448
31	['KNN', 'SVC_RBF']	0.6775167531009595
32	['KNN', 'CAT']	0.8182984017609339
33	['KNN', 'LGBM']	0.7863492063492062
34	['KNN', 'LGBM_RF']	0.7661111111111111
35	['KNN', 'XGB']	0.8122188786822934
36	['KNN', 'XGB_RF']	0.806837606837607
37	['KNN', 'LR']	0.7867514573396925
38	['SVC_LIN', 'SVC_RBF']	0.843182537626982
39	['SVC_LIN', 'CAT']	0.860196681208845
40	['SVC_LIN', 'LGBM']	0.839204008319153
41	['SVC_LIN', 'LGBM_RF']	0.8624338624338623
42	['SVC_LIN', 'XGB']	0.839958395513951
43	['SVC_LIN', 'XGB_RF']	0.856636301302772
44	['SVC_LIN', 'LR']	0.8445086867439446
45	['SVC_RBF', 'CAT']	0.8364737049687823
46	['SVC_RBF', 'LGBM']	0.8168254564717611
47	['SVC_RBF', 'LGBM_RF']	0.8241968557758031
48	['SVC_RBF', 'XGB']	0.8115514690340309
49	['SVC_RBF', 'XGB_RF']	0.8502337069293566
